year,sex,Age,Prop
1996,Female,2,0.004795871330453832
1996,Female,3,0.006518976241252603
1996,Male,3,0.008208142038456406
1996,Female,4,0.023052946328502723
1996,Male,4,0.018457407667385038
1996,Female,5,0.06062094032139476
1996,Male,5,0.03978993511279423
1996,Female,6,0.0785026712898215
1996,Male,6,0.030551971724654473
1996,Female,7,0.04659290585299216
1996,Male,7,0.03982177269041789
1996,Female,8,0.065995635062980465
1996,Male,8,0.029350186112084734
1996,Female,9,0.04186988185605201
1996,Male,9,0.03364096022870359
1996,Female,10,0.03548022928788636
1996,Male,10,0.02680689883124424
1996,Female,11,0.024565907449373085
1996,Male,11,0.030611566299280916
1996,Female,12,0.029122362716555106
1996,Male,12,0.0378091571434324
1996,Female,13,0.017040535262800225
1996,Male,13,0.012664420452297775
1996,Female,14,0.014337260021018261
1996,Male,14,0.022556120170569613
1996,Female,15,0.020007167382367533
1996,Male,15,0.02469948608534686
1996,Female,16,0.024126681897899342
1996,Male,16,0.00647184279256508
1996,Female,17,0.013712341547660491
1996,Male,17,0.002318898609811438
1996,Female,18,0.0031078315235927322
1996,Male,18,0.010775807231801266
1996,Female,19,0.003358831864657805
1996,Male,19,0.0031078315235927322
1996,Female,20,0.0021937659928629462
1996,Male,20,0.010944082544867744
1996,Female,21,0.0028060279007834006
1996,Male,21,0.0031078315235927322
1996,Female,22,0.0041810971554961775
1996,Male,22,3.875501332370084e-4
1996,Female,23,0.0013242659729685179
1996,Male,23,0.005995395569648471
1996,Female,24,0.0020905485777480888
1996,Male,24,0.0031304818325944557
1996,Female,25,0.001806215859625938
1996,Male,25,0.0020905485777480888
1996,Female,26,0.0013016156639667944
1996,Male,26,0.003754160915738354
1996,Female,27,0.003392164241714883
1996,Male,27,0.008325192100878542
1996,Female,28,0.002603231327933589
1996,Male,28,0.003392164241714883
1996,Female,29,0.0013016156639667944
1996,Male,29,0.002318898609811438
1996,Female,30,0.0017887449549387569
1996,Male,30,0.002603231327933589
1996,Female,31,0.018920377774062056
1996,Male,31,0.019789409584467028
1997,Female,2,0.005273945592989758
1997,Male,2,0.004458913317503411
1997,Female,3,0.023335056490266185
1997,Male,3,0.0235565335842504
1997,Female,4,0.02970028883688993
1997,Male,4,0.013860552349021737
1997,Female,5,0.0703706139443171
1997,Male,5,0.03994171222396722
1997,Female,6,0.0809597454741327
1997,Male,6,0.0512974039799774
1997,Female,7,0.08168820961758905
1997,Male,7,0.05868289090237223
1997,Female,8,0.04616347377985234
1997,Male,8,0.04457720948147288
1997,Female,9,0.03367391658548432
1997,Male,9,0.025993204702519493
1997,Female,10,0.030367863894294335
1997,Male,10,0.0264401516675665
1997,Female,11,0.01781689778966735
1997,Male,11,0.016316890888675783
1997,Female,12,0.028359956188110495
1997,Male,12,0.02477889898784255
1997,Female,13,0.009356765602108087
1997,Male,13,0.02003839353309029
1997,Female,14,0.012335878881744864
1997,Male,14,0.022304337970104494
1997,Female,15,0.00647179290381936
1997,Male,15,0.018894527394281532
1997,Female,16,0.01014241821363375
1997,Male,16,0.011008128367956248
1997,Female,17,0.005078672551375237
1997,Male,17,0.012711247903347241
1997,Female,18,0.0052763930323516195
1997,Male,18,0.004422588615626391
1997,Female,19,0.0022514409538753094
1997,Male,19,0.008340669780593089
1997,Female,20,0.0028166225722303997
1997,Male,20,0.008524483973561888
1997,Male,21,0.001879463296409088
1997,Female,22,8.538044167252282e-4
1997,Male,22,4.8642498782316604e-4
1997,Female,23,0.0011975025511340614
1997,Male,23,0.0052368257561420505
1997,Female,24,0.0011606535513973843
1997,Male,24,0.00286010858483231
1997,Female,25,0.001664122820848547
1997,Male,25,0.0014550853899661272
1997,Female,26,0.002150547808671713
1997,Male,26,0.001941510377789293
1997,Male,27,0.0020966545273070395
1997,Female,28,8.538044167252282e-4
1997,Male,28,0.002166162953277022
1997,Female,29,8.538044167252282e-4
1997,Male,29,0.002150547808671713
1997,Female,30,0.004838966137860609
1997,Male,30,0.0015648819800361234
1997,Female,31,0.007402606063949978
1997,Male,31,0.019597829625245086
1998,Female,2,4.1433243277979096e-4
1998,Male,2,4.1433243277979096e-4
1998,Female,3,0.03460375649061256
1998,Male,3,0.013110820482716659
1998,Female,4,0.06142563742882308
1998,Male,4,0.02239105099456508
1998,Female,5,0.05010139635383574
1998,Male,5,0.03778955423129612
1998,Female,6,0.08004146339826383
1998,Male,6,0.03611642751127161
1998,Female,7,0.06868779488629058
1998,Male,7,0.04074435245901011
1998,Female,8,0.06141858801443134
1998,Male,8,0.04471415011437185
1998,Female,9,0.03016308069573206
1998,Male,9,0.021653766649689397
1998,Female,10,0.026607668362616806
1998,Male,10,0.041440107870019165
1998,Female,11,0.013730107772654035
1998,Male,11,0.023999955842775415
1998,Female,12,0.022957370689548152
1998,Male,12,0.020526181143336535
1998,Female,13,0.016054886289565046
1998,Male,13,0.015652216917276533
1998,Female,14,0.014787759382587284
1998,Male,14,0.014485458770367473
1998,Female,15,0.01940617264648447
1998,Male,15,0.010637409245939798
1998,Female,16,0.012634163037705561
1998,Male,16,0.009661077380326236
1998,Female,17,0.009907512799754171
1998,Male,17,0.003825474571223075
1998,Female,18,0.009306699831157566
1998,Male,18,0.013833128318878986
1998,Female,19,0.007643037033059893
1998,Male,19,0.0051130787084232646
1998,Female,20,0.004275132791393432
1998,Male,20,0.00593307900117395
1998,Female,21,0.0033614763108632
1998,Male,21,0.0012078257858687553
1998,Female,22,0.006471260147430314
1998,Male,22,0.00556678727772157
1998,Female,23,0.0037260856379354745
1998,Male,23,0.004193760908959296
