year,sex,Age,Prop
2001,Male,8,0.03526798666463011
2001,Female,9,0.03546782178489217
2001,Male,9,0.024598597900172253
2001,Female,10,0.02169419645542955
2001,Male,10,0.012839157447887405
2001,Female,11,0.013952692139622443
2001,Male,11,0.021928478873997036
2001,Female,12,0.006020443506540629
2001,Male,12,0.01623314479710741
2001,Female,13,0.014205371723893037
2001,Male,13,0.00969784604169494
2001,Female,14,0.007467211298562453
2001,Male,14,0.00753588529344801
2001,Female,15,0.01863561134900983
2001,Male,15,0.013884930957852086
2001,Female,16,0.007529032854731562
2001,Male,16,0.012452166868162749
2001,Female,17,0.006873044982066757
2001,Male,17,0.009191648085090239
2001,Female,18,0.009743025472401313
2001,Male,18,0.006265812552513611
2001,Female,19,0.002865783750537984
2001,Male,19,0.012329869775335362
2001,Female,20,0.005189709133447949
2001,Male,20,0.006274544551194106
2001,Female,21,4.033766857385557e-4
2001,Male,21,0.0020737421748467408
2001,Female,22,0.004561066597702874
2001,Male,22,0.0024532180058933397
2001,Female,23,0.004138323628642615
2001,Male,23,0.004248673282604295
2001,Female,24,7.397400524021088e-4
2001,Male,24,0.00627898336901753
2001,Female,25,0.0014794801048042176
2001,Male,25,0.0059284272744149465
2001,Female,26,7.997918344407524e-4
2001,Male,26,0.006116124868875256
2001,Female,27,0.004500266952968876
2001,Male,27,0.0023471980714351724
2001,Female,28,0.0011431167381406645
2001,Male,28,0.0041092143852559
2001,Female,29,7.397400524021088e-4
2001,Male,29,0.002272406155755439
2001,Female,30,0.0035285327032458513
2001,Male,30,0.00473261403654036
2001,Female,31,0.023138709299269953
2001,Male,31,0.0319075054563746
2002,Female,2,0.0067918841697002085
2002,Female,3,0.011155696299004078
2002,Male,3,0.014582543188149407
2002,Female,4,0.046413242110336046
2002,Male,4,0.03364317166675677
2002,Female,5,0.08974151212272362
2002,Male,5,0.08549416575558014
2002,Female,6,0.09552099656416595
2002,Male,6,0.07273524279749612
2002,Female,7,0.06149845254146869
2002,Male,7,0.036066419443549186
2002,Female,8,0.04251496186800245
2002,Male,8,0.01782628099152904
2002,Female,9,0.021507634919331678
2002,Male,9,0.017271720499105313
2002,Female,10,0.0069748072603921605
2002,Male,10,0.015172688740455045
2002,Female,11,0.011558042728087163
2002,Male,11,0.012440377545701443
2002,Female,12,0.015719570281214453
2002,Male,12,0.006135005619474175
2002,Female,13,0.002806663621292131
2002,Male,13,0.011428386822236123
2002,Female,14,0.01165178717239946
2002,Male,14,0.009948642748362537
2002,Female,15,0.017262061365439424
2002,Male,15,0.009122580500461332
2002,Female,16,0.013042512852986916
2002,Male,16,0.005356524793841415
2002,Female,17,0.00841293709831929
2002,Male,17,0.006188184209864336
2002,Female,18,0.005416510145891275
2002,Male,18,0.00634689236773079
2002,Female,19,0.009584191298804457
2002,Male,19,0.006308613070094308
2002,Female,20,0.007184226143501087
2002,Male,20,0.008718440419788812
2002,Female,21,0.007477196965914815
2002,Male,21,0.0029234060243501334
2002,Female,22,0.003565081612363297
2002,Male,22,0.00825395640674453
2002,Female,23,0.002980420985054608
2002,Male,23,0.006025716485860405
2002,Female,24,0.003851542974168034
2002,Male,24,0.004243867152496743
2002,Female,25,0.009307763053508762
2002,Male,25,0.0018837446779841093
2002,Female,26,0.003186880333208091
2002,Male,26,0.004868659397527507
2002,Female,27,0.00436245755407507
2002,Male,27,0.002595713188845295
2002,Female,28,0.007224229603188833
2002,Male,28,0.0023915023031589855
2002,Female,29,0.004980315166346744
2002,Male,29,0.004270965290442996
2002,Female,30,0.003141377605388237
2002,Male,30,0.0014685833598509638
2002,Female,31,0.0279046405010137
2002,Male,31,0.02354840761527132
2003,Male,2,8.622577461056967e-4
2003,Female,3,0.02442727974611492
2003,Male,3,0.018934931203422805
2003,Female,4,0.03169040546398436
2003,Male,4,0.017927349333515447
2003,Female,5,0.11679074794560151
2003,Male,5,0.06947981408374643
2003,Female,6,0.14780380738005672
2003,Male,6,0.07981188014388643
2003,Female,7,0.07307148984518443
2003,Male,7,0.04463436295869223
2003,Female,8,0.04366577291483236
2003,Male,8,0.03657973510554345
2003,Female,9,0.021441155679979552
2003,Male,9,0.014142950787562707
2003,Female,10,0.02244268334086922
2003,Male,10,0.010849348651222513
2003,Female,11,0.011603833454086858
2003,Male,11,0.012405643806974266
2003,Female,12,0.00736671708738423
2003,Male,12,0.008602728655225945
2003,Female,13,0.0022685080698031067
2003,Male,13,0.005439220468251852
2003,Female,14,0.005982882538000207
2003,Male,14,0.010936371833112456
2003,Female,15,0.009281855600463712
2003,Male,15,0.007672420121382793
2003,Female,16,0.008262258338103446
2003,Male,16,0.015215199827908435
2003,Female,17,0.0071964859196977215
2003,Male,17,0.0077985482064744475
2003,Female,18,0.007050920467013142
2003,Male,18,0.005866749847216403
2003,Female,19,2.579324039267407e-4
2003,Male,19,0.017117762215307405
2003,Female,20,0.006167540559283589
2003,Male,20,0.006477626551881875
2003,Female,21,0.002357422642777363
2003,Male,21,0.0033339634134068536
2003,Male,22,0.003464342197312091
2003,Female,23,0.0022598598917954824
2003,Male,23,0.0014837574004753476
2003,Female,24,0.002318360528099668
2003,Male,24,0.0018427050629342917
2003,Female,25,0.004461895151130222
2003,Male,25,6.166973108734901e-4
2003,Female,26,5.158648078534814e-4
2003,Male,26,0.0012095778742635492
2003,Female,27,0.002904037389761868
2003,Male,27,0.0031619697936886093
2003,Female,28,0.004132830764767544
2003,Male,28,0.002904037389761868
2003,Female,29,0.0014837574004753476
2003,Male,29,7.471901750897632e-4
2003,Male,30,0.0014837574004753476
2003,Female,31,0.010833683818960242
2003,Male,31,0.010957111284278126
2004,Female,2,0.0018493597583603
2004,Female,3,0.01837000558298057
2004,Male,3,0.0109871317210809
2004,Female,4,0.10161030655001463
2004,Male,4,0.05288548616055928
2004,Female,5,0.09142679323290565
2004,Male,5,0.07951915196700254
2004,Female,6,0.1058747592609942
2004,Male,6,0.07384021404088503
2004,Female,7,0.0767035917472443
2004,Male,7,0.048204646776947094
2004,Female,8,0.04091589945440775
2004,Male,8,0.028476901796162832
2004,Female,9,0.025569284099699493
2004,Male,9,0.014681661953279315
2004,Female,10,0.015876223990390206
2004,Male,10,0.01668609346033379
2004,Female,11,0.00784899647649022
2004,Male,11,0.01251995349031634
2004,Female,12,0.007270877316989021
2004,Male,12,0.014404873747540691
2004,Female,13,0.007016010256670332
2004,Male,13,0.013135609866217984
2004,Female,14,0.006550766717116245
2004,Male,14,0.008090403127596691
2004,Female,15,0.002930089579652775
2004,Male,15,0.005741744995620564
2004,Female,16,0.005550203976098822
2004,Male,16,0.001232214566530378
2004,Female,17,0.0018505948014719891
2004,Male,17,0.005297471920064568
2004,Female,18,0.003741444341020369
2004,Male,18,0.006682941923667218
2004,Female,19,9.216730825767665e-4
2004,Male,19,0.004021160454259481
2004,Female,20,0.004494431036760266
2004,Male,20,0.008192400903597062
2004,Female,21,0.007310978499272916
2004,Male,21,0.0020211271123049073
2004,Male,22,0.007122198153630298
2004,Female,23,0.0032568024632502373
2004,Male,23,0.004527518140355938
2004,Female,24,0.0024695296123808884
2004,Male,24,0.0019050756632484796
2004,Female,25,0.0030957130596082445
2004,Male,25,0.003196725812774361
2004,Female,26,8.244346414851194e-4
2004,Male,26,0.006092230175774801
2004,Female,27,9.216730825767665e-4
2004,Male,27,8.244346414851194e-4
2004,Female,28,0.003123625019410068
2004,Male,28,0.002942800194881674
2004,Female,29,0.001575768489605946
2004,Male,29,0.0015478565298041222
2004,Female,31,0.006061131658594631
2004,Male,31,0.010209002916049781
2005,Female,2,0.004119466128007323
2005,Male,2,0.0020597330640036615
2005,Female,3,0.002703212349333173
2005,Male,3,0.00649543705090058
2005,Female,4,0.06114955722978721
2005,Male,4,0.07092294977116326
2005,Female,5,0.12726108806711495
2005,Male,5,0.09200423399000254
2005,Female,6,0.08116476268098766
2005,Male,6,0.08706866443146369
2005,Female,7,0.09189519158034413
2005,Male,7,0.05320769586210673
2005,Female,8,0.05830241488662227
2005,Male,8,0.02773781243698164
2005,Female,9,0.02556312280339004
2005,Male,9,0.02693180498447371
2005,Female,10,0.01987800643041704
2005,Male,10,0.020091960493149406
2005,Female,11,0.007394696789283531
2005,Male,11,0.007122252837544641
2005,Female,12,0.00948414674167667
2005,Male,12,0.00894794369280412
2005,Female,13,0.006994484670775742
2005,Male,13,0.007831260029187517
2005,Female,14,0.005865515553355863
2005,Male,14,0.004503655145961319
2005,Female,15,0.00460446293546794
2005,Male,15,0.004352912998335441
2005,Female,16,0.005049859259380872
2005,Male,16,0.0011185742847206548
2005,Female,17,0.004185516572963318
2005,Male,17,0.004841052592851295
2005,Female,18,0.00419236640926951
2005,Male,18,4.671884324029056e-4
2005,Female,19,0.0015348209784893136
2005,Male,19,0.005694005059433118
2005,Female,20,0.0026575454307801965
2005,Male,20,0.003661639948134823
2005,Female,21,0.0063172804885186324
2005,Male,21,0.0017699601370384042
2005,Female,22,0.001958307724523476
2005,Male,22,0.0019808838171249793
2005,Female,23,0.002186206830807063
2005,Male,23,0.0019383444229767726
2005,Female,24,0.0015348209784893136
2005,Male,24,8.590930233877559e-4
2005,Female,25,0.001306921872205727
2005,Female,26,0.0028365179448774022
