ParName   Value   Gradient
log_F_devs_fish1(1980)    -0.360373  1.94488e-05
log_F_devs_fish1(1981)    -0.122272 -4.13043e-05
log_F_devs_fish1(1982)    -0.249212  7.05515e-05
log_F_devs_fish1(1983)    -0.335549 -1.27154e-05
log_F_devs_fish1(1984)    -0.395398  2.45353e-06
log_F_devs_fish1(1985)     -0.23052 -6.06747e-06
log_F_devs_fish1(1986)     0.215084  2.65516e-05
log_F_devs_fish1(1987)     0.453116  0.000108787
log_F_devs_fish1(1988)     0.555309 -1.50867e-05
log_F_devs_fish1(1989)     0.569388  -4.4664e-05
log_F_devs_fish1(1990)     0.553811 -6.89626e-06
log_F_devs_fish1(1991)     0.499091  9.60077e-06
log_F_devs_fish1(1992)     0.440946  5.87909e-06
log_F_devs_fish1(1993)     0.575462  8.63804e-06
log_F_devs_fish1(1994)     0.550929  8.02295e-06
log_F_devs_fish1(1995)     0.371854 -3.22795e-07
log_F_devs_fish1(1996)     0.265514 -8.39708e-06
log_F_devs_fish1(1997)     0.180579 -1.11235e-05
log_F_devs_fish1(1998)     0.202471 -2.87993e-06
log_F_devs_fish1(1999)     0.196761  9.66069e-06
log_F_devs_fish1(2000)     0.383972  4.13681e-05
log_F_devs_fish1(2001)     0.300559  8.97483e-06
log_F_devs_fish1(2002)     0.301407  9.20977e-05
log_F_devs_fish1(2003)     0.409064 -1.78437e-05
log_F_devs_fish1(2004)     0.471459 -4.94188e-06
log_F_devs_fish1(2005)     0.371825 -3.15174e-05
log_F_devs_fish1(2006)     0.313078  4.69786e-05
log_F_devs_fish1(2007)     0.359638  -4.1197e-05
log_F_devs_fish1(2008)     0.306167 -2.03704e-05
log_F_devs_fish1(2009)     0.247045 -1.03731e-05
log_F_devs_fish1(2010)     0.209306 -7.08164e-05
log_F_devs_fish1(2011)      0.33243 -1.07132e-05
log_F_devs_fish1(2012)     0.429622 -0.000181959
log_F_devs_fish1(2013)     0.431693  7.42678e-05
log_F_devs_fish1(2014)     0.274454  7.59154e-05
log_F_devs_fish1(2015)     0.251624  4.27097e-05
log_F_devs_fish1(2016)    0.0422807  7.32167e-05
log_F_devs_fish1(2017)    0.0873917  2.10983e-05
log_F_devs_fish1(2018)   -0.0183929 -3.54597e-05
log_F_devs_fish1(2019)    -0.165753 -1.36928e-05
log_F_devs_fish1(2020)    -0.433709 -5.29688e-05
log_F_devs_fish1(2021)    -0.292208  1.48537e-05
log_F_devs_fish1(2022)    -0.164927  5.49709e-05
log_F_devs_fish1(2023)    -0.351473   9.0402e-06
log_F_devs_fish1(2024)    -0.559558  1.08997e-05
log_avg_F_fish3      -4.4871 -2.06951e-06
log_F_devs_fish3(1963)     0.222581  5.03815e-05
log_F_devs_fish3(1964)    -0.247803  5.98256e-06
log_F_devs_fish3(1965)     0.388017 -2.36643e-06
log_F_devs_fish3(1966)     0.777303  5.87125e-05
log_F_devs_fish3(1967)      1.02611 -4.05963e-05
log_F_devs_fish3(1968)      1.29058 -3.41334e-05
log_F_devs_fish3(1969)      1.39741  8.84475e-05
log_F_devs_fish3(1970)      1.09721  9.82189e-05
log_F_devs_fish3(1971)      1.46627 -5.03166e-05
log_F_devs_fish3(1972)      1.72426  4.66564e-05
log_F_devs_fish3(1973)      1.23054 -2.20326e-05
log_F_devs_fish3(1974)     0.893768  -4.4335e-05
log_F_devs_fish3(1975)     0.650143  2.81493e-06
log_F_devs_fish3(1976)     0.691907  1.47399e-05
log_F_devs_fish3(1977)    -0.148413  7.63732e-06
log_F_devs_fish3(1978)    -0.824996  2.78444e-05
log_F_devs_fish3(1979)    -0.674435  1.08867e-05
log_F_devs_fish3(1980)    -0.502009 -1.19628e-05
log_F_devs_fish3(1981)    -0.827575  1.14056e-06
log_F_devs_fish3(1982)    -0.840187   6.5287e-06
log_F_devs_fish3(1983)     -1.07208  -1.6374e-06
log_F_devs_fish3(1984)    -0.284808  5.12532e-06
log_F_devs_fish3(1985)      -1.2416  9.06786e-06
log_F_devs_fish3(1986)     0.337259 -2.43562e-05
log_F_devs_fish3(1987)     0.426507 -3.79568e-05
log_F_devs_fish3(1988)     0.693546 -2.45993e-06
log_F_devs_fish3(1989)     0.588197 -2.98021e-05
log_F_devs_fish3(1990)      0.25722 -8.38835e-06
log_F_devs_fish3(1991)   -0.0668221 -2.92295e-05
log_F_devs_fish3(1992)   -0.0447107 -3.85317e-05
log_F_devs_fish3(1993)    -0.129022 -2.18846e-05
log_F_devs_fish3(1994)    0.0950297  7.91187e-05
log_F_devs_fish3(1995)    0.0446522  1.06455e-06
log_F_devs_fish3(1996)   -0.0683112  1.02472e-05
log_F_devs_fish3(1997)    -0.319534 -1.41987e-05
log_F_devs_fish3(1998)    -0.376681 -1.69794e-05
log_F_devs_fish3(1999)    -0.109267 -1.91174e-05
log_F_devs_fish3(2000)     -0.11649 -1.41184e-05
log_F_devs_fish3(2001)    -0.265575 -1.05602e-05
log_F_devs_fish3(2002)    -0.106125   -2.291e-05
log_F_devs_fish3(2003)    -0.239124 -1.05071e-05
log_F_devs_fish3(2004)    -0.476296 -7.88338e-06
log_F_devs_fish3(2005)    -0.535437 -1.06051e-05
log_F_devs_fish3(2006)    -0.729097   6.9449e-06
log_F_devs_fish3(2007)    -0.693984  9.52259e-06
log_F_devs_fish3(2008)    -0.734403 -1.60388e-05
log_F_devs_fish3(2009)    -0.748928  1.57586e-05
log_F_devs_fish3(2010)     -0.77987  -3.3117e-05
log_F_devs_fish3(2011)    -0.598267  3.51985e-05
log_F_devs_fish3(2012)    -0.639162  6.40697e-06
log_F_devs_fish3(2013)    -0.657587 -1.19092e-05
log_F_devs_fish3(2014)    -0.617903  9.47882e-06
log_F_devs_fish3(2015)    -0.517436  1.21926e-05
log_F_devs_fish3(2016)    -0.373052  -1.1064e-05
log_F_devs_fish3(2017)    0.0839827 -2.72721e-06
log_F_devs_fish3(2018)     0.384711  2.21052e-06
log_F_devs_fish3(2019)     0.427642  2.41928e-05
log_F_devs_fish3(2020)     0.591236  4.43813e-06
log_F_devs_fish3(2021)   -0.0384472  4.41382e-06
log_F_devs_fish3(2022)   -0.0576742 -4.23779e-05
log_F_devs_fish3(2023)   -0.0849012  2.94497e-05
log_F_devs_fish3(2024)   0.00190972 -4.84989e-05
log_q_srv1      1.86374  1.15347e-06
log_q_srv2      1.53328 -6.05441e-08
log_q_srv6       1.5692 -3.15615e-06
log_q_srv7    -0.163542 -5.93098e-06
log_q_srv8     -6.53099 -4.13304e-07
log_q_LL_fish_recent     -7.28735 -2.14726e-07
log_a50_fish1_f      1.39608 -1.63288e-05
log_delta_fish1_f    -0.620507 -9.75646e-06
log_a50_fish1_m      1.89203  1.14017e-05
log_a50_fish3_f      1.73555   4.7538e-06
log_delta_fish3_f       2.3041  9.00486e-06
log_a50_fish3_m      2.06523  1.13927e-05
log_a50_fish4_f       1.2152  2.22195e-06
log_delta_fish4_f     0.564556 -1.42992e-05
log_a50_fish4_m      1.48318 -8.84523e-06
log_delta_fish4_m     -0.07462  1.14349e-05
log_a50_fish5_f     0.650525  2.76748e-05
log_delta_fish5_f     0.861488  1.49958e-05
log_a50_fish5_m     0.798171 -1.32843e-05
log_delta_fish5_m     0.222745 -4.15635e-06
log_a50_srv1_f      1.09527  2.74854e-05
log_delta_srv1_f     0.929524   -1.613e-05
log_a50_srv1_m      0.97641 -2.59743e-05
log_delta_srv1_m     0.882162 -2.69333e-05
log_a50_srv7_f    -0.401027  -1.4798e-05
log_a50_srv7_m     -1.34222 -5.53099e-07
log_a50_srv10_f     0.661585  2.77921e-05
log_a50_srv10_m     0.570469    2.184e-05
