ParName   Value   Gradient
log_F_devs_fish1(1982)    -0.210041  5.97712e-07
log_F_devs_fish1(1983)    -0.295239  3.67145e-07
log_F_devs_fish1(1984)    -0.354124  1.70531e-06
log_F_devs_fish1(1985)    -0.188528  1.36315e-06
log_F_devs_fish1(1986)      0.25745  9.08354e-08
log_F_devs_fish1(1987)     0.495577  5.78396e-07
log_F_devs_fish1(1988)     0.597713  1.80777e-09
log_F_devs_fish1(1989)     0.611532  -1.1008e-06
log_F_devs_fish1(1990)     0.596002 -6.19168e-07
log_F_devs_fish1(1991)     0.541636 -1.44978e-06
log_F_devs_fish1(1992)     0.483759 -1.28587e-06
log_F_devs_fish1(1993)     0.618492 -1.99647e-06
log_F_devs_fish1(1994)     0.593924 -2.17605e-06
log_F_devs_fish1(1995)      0.41474 -9.92799e-07
log_F_devs_fish1(1996)      0.30828 -8.19931e-07
log_F_devs_fish1(1997)     0.223208 -8.29145e-07
log_F_devs_fish1(1998)     0.244992  5.24627e-08
log_F_devs_fish1(1999)      0.23915 -4.61627e-07
log_F_devs_fish1(2000)     0.426153 -4.38616e-07
log_F_devs_fish1(2001)     0.342601 -2.06476e-07
log_F_devs_fish1(2002)     0.343324 -5.41841e-07
log_F_devs_fish1(2003)     0.450769 -1.47027e-06
log_F_devs_fish1(2004)     0.513032 -2.58904e-06
log_F_devs_fish1(2005)     0.413412 -8.88603e-07
log_F_devs_fish1(2006)     0.354627 -4.23946e-07
log_F_devs_fish1(2007)     0.401132 -1.59322e-06
log_F_devs_fish1(2008)     0.347708 -1.68481e-06
log_F_devs_fish1(2009)     0.288666 -1.80894e-06
log_F_devs_fish1(2010)     0.251033 -3.91833e-07
log_F_devs_fish1(2011)     0.374055 -1.94557e-07
log_F_devs_fish1(2012)     0.471105 -5.22317e-07
log_F_devs_fish1(2013)     0.473126  1.41387e-08
log_F_devs_fish1(2014)     0.315925 -4.62807e-07
log_F_devs_fish1(2015)     0.293175  7.08232e-07
log_F_devs_fish1(2016)    0.0837393  2.78322e-06
log_F_devs_fish1(2017)     0.128803  2.42784e-06
log_F_devs_fish1(2018)    0.0232078  1.08145e-06
log_F_devs_fish1(2019)    -0.123907  1.90658e-06
log_F_devs_fish1(2020)    -0.391561  1.99215e-06
log_F_devs_fish1(2021)    -0.249675  1.61362e-06
log_F_devs_fish1(2022)    -0.121951  1.37513e-06
log_F_devs_fish1(2023)     -0.30783  1.93449e-06
log_F_devs_fish1(2024)    -0.515187  5.63851e-07
log_avg_F_fish3     -4.50066  1.69858e-05
log_F_devs_fish3(1963)     0.216053 -3.44908e-07
log_F_devs_fish3(1964)    -0.253736 -1.17765e-07
log_F_devs_fish3(1965)     0.383021 -3.37735e-08
log_F_devs_fish3(1966)     0.773208  5.51594e-07
log_F_devs_fish3(1967)      1.02277  7.77977e-07
log_F_devs_fish3(1968)      1.28784   8.1217e-07
log_F_devs_fish3(1969)      1.39496  5.39349e-07
log_F_devs_fish3(1970)      1.09466  3.08713e-07
log_F_devs_fish3(1971)      1.46373 -1.25117e-06
log_F_devs_fish3(1972)      1.72134 -2.60186e-07
log_F_devs_fish3(1973)      1.22675 -4.09314e-07
log_F_devs_fish3(1974)     0.889411   3.3469e-07
log_F_devs_fish3(1975)      0.64552  3.57348e-07
log_F_devs_fish3(1976)     0.687281  6.55819e-07
log_F_devs_fish3(1977)    -0.152731  6.12233e-07
log_F_devs_fish3(1978)    -0.828257 -7.28124e-07
log_F_devs_fish3(1979)     -0.67675 -9.29369e-08
log_F_devs_fish3(1980)    -0.503258 -2.25563e-08
log_F_devs_fish3(1981)    -0.827597 -1.75936e-07
log_F_devs_fish3(1982)    -0.839996  4.00685e-07
log_F_devs_fish3(1983)     -1.07135  2.35889e-07
log_F_devs_fish3(1984)    -0.283576  1.40896e-06
log_F_devs_fish3(1985)     -1.23995  2.90012e-07
log_F_devs_fish3(1986)     0.339178  5.51557e-07
log_F_devs_fish3(1987)     0.428574  4.49265e-07
